,host_is_superhost,host_listings_count,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating,antiguedad_host,price_clean,postal_code,Bedroom comforts,Hot water,Kitchen,TV,Cable TV,Pocket wifi,Changing table,Patio or balcony,Waterfront,Bread maker,Full kitchen,Heating,Single level home,Bathroom essentials,Pets allowed,Game console,Cooking basics,Shampoo,Bed linens,First aid kit,Piano,Dishwasher,Extra pillows and blankets,Iron,Self check-in,Garden or backyard,Baby monitor,Beachfront,Fire extinguisher,Window guards,Barbecue utensils,Dishes and silverware,Ethernet connection,Coffee maker,BBQ grill,Lake access,Hot tub,Long term stays allowed,Laptop-friendly workspace,Paid parking on premises,Stove,Smoke alarm,Carbon monoxide alarm,Microwave,Refrigerator,Free parking on premises,Lockbox,Paid parking off premises,Ski-in/Ski-out,Shower gel,Breakfast,Dryer,Free street parking,Air conditioning,Stair gates,Wifi,Baking sheet,Lock on bedroom door,Host greets you,Suitable for events,Cleaning before checkout,Hair dryer,Children’s books and toys,Room-darkening shades,Outlet covers,Keypad,Gym,Fireplace guards,Indoor fireplace,Table corner guards,Smoking allowed,Children’s dinnerware,Essentials,Washer,Baby bath,Luggage dropoff allowed,Elevator,Smart lock,Babysitter recommendations,EV charger,Building staff,Private living room,Oven,Beach essentials,Crib,Private entrance,Pack ’n Play/travel crib,Pool,Bathtub,High chair,Hangers
32,0,435.0,1,Entire apartment,Entire home/apt,8.0,2 baths,3.0,4.0,33.0,86.0,4.0,86.0,28009,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,28.0,1,Entire apartment,Entire home/apt,6.0,1 bath,2.0,2.0,239.0,93.0,4.0,54.0,28012,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
35,0,9.0,1,Entire apartment,Entire home/apt,5.0,1 bath,3.0,4.0,12.0,84.0,6.0,64.0,28026,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,0,1.0,0,Private room in apartment,Private room,1.0,1 bath,1.0,1.0,3.0,93.0,5.0,22.0,28011,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,0,71.0,1,Entire apartment,Entire home/apt,4.0,1 bath,1.0,1.0,1.0,20.0,1.0,62.0,28012,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,1,15.0,1,Entire apartment,Entire home/apt,2.0,1.5 baths,0.0,1.0,353.0,94.0,7.0,48.0,28014,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
39,0,6.0,1,Entire apartment,Entire home/apt,4.0,1 bath,1.0,3.0,106.0,93.0,3.0,36.0,28045,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,0,1.0,0,Private room in apartment,Private room,2.0,1 shared bath,0.0,0.0,15.0,92.0,1.0,35.0,28015,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
42,0,1.0,1,Entire apartment,Entire home/apt,4.0,1 bath,1.0,2.0,57.0,91.0,3.0,45.0,28015,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
43,1,1.0,1,Entire apartment,Entire home/apt,2.0,1 bath,1.0,1.0,55.0,95.0,6.0,61.0,28004,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
44,0,0.0,0,Entire apartment,Entire home/apt,8.0,1 bath,3.0,3.0,0.0,0.0,0.0,200.0,28013,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,0,11.0,1,Private room in apartment,Private room,1.0,3 shared baths,1.0,0.0,0.0,0.0,1.0,32.0,28010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,0,36.0,1,Entire apartment,Entire home/apt,4.0,1 bath,2.0,3.0,30.0,93.0,3.0,98.0,28012,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
47,0,259.0,1,Entire apartment,Entire home/apt,2.0,1 bath,1.0,1.0,0.0,0.0,1.0,66.0,28010,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,0,1.0,1,Entire apartment,Entire home/apt,6.0,2 baths,3.0,5.0,14.0,87.0,4.0,90.0,28039,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
